,_id,state,createdDate,lastLogin,role,active,signUpSource
105,,WI,2021-01-08 20:47:36.724,2021-01-08 20:47:37.088000,consumer,True,Email
107,,WI,2021-01-08 22:18:16.844,2021-01-08 22:19:49.939000,consumer,True,Email
108,,WI,2021-01-08 22:19:41.689,2021-01-08 22:19:41.738000,consumer,True,Email
109,,WI,2021-01-08 15:01:49.160,2021-01-08 15:01:49.202000,consumer,True,Email
110,,WI,2021-01-08 18:14:53.734,2021-01-08 18:14:53.928000,consumer,True,Email
115,,WI,2021-01-08 22:01:24.238,2021-01-08 22:01:24.518000,consumer,True,Email
117,,WI,2021-01-08 20:40:16.722,2021-01-08 20:40:16.933000,consumer,True,Email
119,,WI,2021-01-08 22:19:42.704,2021-01-08 22:19:42.749000,consumer,True,Email
120,,WI,2021-01-11 20:26:37.225,2021-01-11 20:28:21.430000,consumer,True,Email
121,,WI,2021-01-11 17:50:49.527,2021-01-11 17:50:49.567000,consumer,True,Email
122,,WI,2021-01-11 17:49:11.890,2021-01-11 17:50:56.750000,consumer,True,Email
123,,WI,2021-01-11 17:50:57.375,2021-01-11 17:50:57.415000,consumer,True,Email
129,,WI,2021-01-11 20:27:40.225,2021-01-11 20:27:40.265000,consumer,True,Email
130,,WI,2021-01-11 18:48:39.076,2021-01-11 18:50:13.461000,consumer,True,Email
138,,WI,2021-01-11 18:49:03.920,2021-01-11 18:49:03.965000,consumer,True,Email
139,,WI,2021-01-11 19:12:06.515,2021-01-11 19:12:06.791000,consumer,True,Email
140,,WI,2021-01-13 15:19:52.446,2021-01-13 15:19:52.678000,consumer,True,Email
141,,WI,2021-01-13 15:18:39.070,2021-01-13 15:22:02.153000,consumer,True,Email
142,,WI,2021-01-13 19:37:18.415,2021-01-13 19:41:12.676000,consumer,True,Email
143,,AL,2021-01-12 21:15:00.208,null,consumer,True,Email
144,,WI,2021-01-13 20:19:38.721,2021-01-13 20:23:26.975000,consumer,True,Email
149,,WI,2021-01-13 16:58:34.027,2021-01-13 16:58:34.075000,consumer,True,Email
154,,WI,2021-01-13 19:39:32.913,2021-01-13 19:39:33.163000,consumer,True,Email
155,,WI,2021-01-13 16:58:39.411,2021-01-13 16:58:39.463000,consumer,True,Email
158,,WI,2021-01-13 16:59:30.518,2021-01-13 16:59:30.567000,consumer,True,Email
160,,WI,2021-01-14 23:33:14.861,2021-01-14 23:33:14.903000,consumer,True,Email
161,,WI,2021-01-14 14:35:15.207,2021-01-14 14:37:10.767000,consumer,True,Email
164,,WI,2021-01-14 23:31:56.665,2021-01-14 23:33:52.701000,consumer,True,Email
165,,WI,2021-01-14 21:29:18.188,2021-01-14 21:33:22.666000,consumer,True,Email
166,,WI,2021-01-14 14:36:57.988,2021-01-14 14:36:58.051000,consumer,True,Email
170,,WI,2020-01-21 19:35:09.795,null,consumer,True,Google
173,,WI,2021-01-14 23:32:59.197,2021-01-14 23:32:59.248000,consumer,True,Email
174,,WI,2021-01-14 14:36:06.157,2021-01-14 14:36:06.208000,consumer,True,Email
175,,WI,2021-01-14 14:36:52.368,2021-01-14 14:36:52.418000,consumer,True,Email
180,,WI,2021-01-16 01:54:36.571,null,consumer,True,Email
181,,WI,2021-01-16 02:27:49.345,null,consumer,True,Email
182,,WI,2021-01-16 23:13:45.574,null,consumer,True,Email
183,,AL,2021-01-14 21:27:55.938,null,consumer,True,Email
184,,WI,2021-01-16 02:48:58.736,null,consumer,True,Email
186,,WI,2021-01-16 03:09:14.959,null,consumer,True,Email
187,,WI,2021-01-16 03:24:21.980,null,consumer,True,Email
188,,WI,2021-01-16 23:00:21.504,null,consumer,True,Email
195,,CO,2021-01-16 01:14:13.653,null,consumer,True,Email
197,,WI,2021-01-17 20:23:56.994,null,consumer,True,Email
198,,WI,2021-01-16 03:39:13.154,null,consumer,True,Email
199,,WI,2021-01-17 20:06:29.321,null,consumer,True,Email
200,,WI,2021-01-17 21:02:11.432,null,consumer,True,Email
201,,WI,2021-01-16 23:45:25.319,null,consumer,True,Email
202,,WI,2021-01-17 19:53:39.356,null,consumer,True,Email
203,,WI,2021-01-17 21:17:25.327,null,consumer,True,Email
204,,WI,2021-01-19 20:51:23.347,2021-01-19 20:55:08.492000,consumer,True,Email
206,,WI,2021-01-19 20:32:17.000,2021-01-19 20:39:03.299000,consumer,True,Email
207,,WI,2021-01-19 20:59:05.175,2021-01-19 21:02:42.824000,consumer,True,Email
208,,WI,2021-01-19 20:54:21.274,2021-01-19 20:54:21.487000,consumer,True,Email
209,,WI,2021-01-19 21:12:41.649,2021-01-19 21:16:09.332000,consumer,True,Email
211,,WI,2021-01-19 21:14:01.809,2021-01-19 21:14:02.010000,consumer,True,Email
221,,WI,2021-01-19 20:34:15.284,2021-01-19 20:34:15.511000,consumer,True,Email
222,,WI,2021-01-19 21:00:51.464,2021-01-19 21:00:51.660000,consumer,True,Email
223,,AL,2021-01-19 15:15:18.644,null,consumer,True,Email
224,,WI,2021-01-20 20:06:45.740,2021-01-20 20:07:54.542000,consumer,True,Email
225,,WI,2021-01-20 19:49:15.040,2021-01-20 19:50:33.205000,consumer,True,Email
227,,WI,2021-01-20 14:11:42.022,2021-01-20 14:15:04.611000,consumer,True,Email
228,,WI,2021-01-20 19:50:04.439,null,consumer,True,Email
229,,WI,2021-01-20 17:36:09.747,2021-01-20 17:36:10.045000,consumer,True,Email
231,,WI,2021-01-20 20:11:09.989,2021-01-20 20:11:10.035000,consumer,True,Email
232,,WI,2021-01-20 16:33:01.152,2021-01-20 16:36:54.993000,consumer,True,Email
233,,WI,2021-01-20 20:10:44.695,2021-01-20 20:11:55.932000,consumer,True,Email
236,,WI,2021-01-20 20:07:32.034,2021-01-20 20:07:32.079000,consumer,True,Email
237,,WI,2021-01-20 19:40:46.148,2021-01-20 19:42:58.793000,consumer,True,Email
238,,WI,2021-01-20 17:33:44.062,2021-01-20 17:37:31.189000,consumer,True,Email
239,,WI,2021-01-20 19:53:09.274,2021-01-20 19:54:22.851000,consumer,True,Email
240,,WI,2021-01-20 17:02:38.662,2021-01-20 17:02:38.931000,consumer,False,Email
242,,WI,2021-01-20 19:50:18.469,2021-01-20 19:50:18.526000,consumer,True,Email
243,,WI,2021-01-20 19:53:42.902,2021-01-20 19:53:42.948000,consumer,True,Email
244,,WI,2021-01-21 13:55:35.327,2021-01-21 13:59:21.063000,consumer,True,Email
247,,IL,2021-01-21 03:08:31.692,null,consumer,True,Email
248,,WI,2021-01-21 13:57:41.269,2021-01-21 13:57:41.485000,consumer,True,Email
249,,WI,2021-01-21 13:57:48.490,2021-01-21 13:57:48.698000,consumer,True,Email
251,,WI,2021-01-21 20:37:25.244,null,consumer,True,Email
253,,WI,2021-01-21 01:09:27.425,null,consumer,True,Email
256,,WI,2021-01-21 15:21:56.507,null,consumer,True,Email
258,,IL,2021-01-21 02:41:17.264,null,consumer,True,Email
260,,WI,2021-01-21 22:44:49.842,null,consumer,True,Email
263,,WI,2021-01-21 14:42:25.107,null,consumer,True,Email
264,,WI,2021-01-22 21:45:34.904,null,consumer,True,Email
265,,WI,2021-01-25 17:31:59.409,2021-01-25 17:35:51.918000,consumer,True,Email
268,,WI,2021-01-25 14:24:01.806,2021-01-25 14:24:02.036000,consumer,True,Email
270,,WI,2021-01-25 22:09:55.031,2021-01-25 22:16:29.531000,consumer,True,Email
271,,WI,2021-01-25 19:49:21.843,null,consumer,True,Email
272,,WI,2021-01-25 22:36:32.551,2021-01-25 22:40:13.981000,consumer,True,Email
273,,WI,2021-01-25 14:22:39.286,2021-01-25 14:29:24.970000,consumer,True,Email
279,,WI,2021-01-25 15:57:07.029,null,consumer,True,Email
281,,WI,2021-01-25 14:24:10.969,2021-01-25 14:24:11.193000,consumer,True,Email
285,,WI,2021-01-26 06:07:40.879,2021-01-26 06:11:23.950000,consumer,True,Email
290,,WI,2021-01-26 06:08:44.058,2021-01-26 06:08:44.267000,consumer,True,Email
297,,WI,2021-01-26 06:08:36.799,2021-01-26 06:08:37.094000,consumer,True,Email
303,,WI,2021-01-27 23:11:45.991,2021-01-27 23:11:46.040000,consumer,True,Email
304,,WI,2021-01-27 23:16:11.933,2021-01-27 23:16:12.023000,consumer,True,Email
305,,WI,2021-01-27 23:11:26.702,2021-01-27 23:16:11.198000,consumer,True,Email
308,,WI,2021-01-27 23:15:51.961,2021-01-27 23:15:52.006000,consumer,True,Email
309,,WI,2021-01-27 15:50:39.664,2021-01-27 15:52:41.503000,consumer,True,Email
310,,WI,2021-01-27 01:14:13.600,2021-01-27 01:14:13.644000,consumer,True,Email
311,,WI,2021-01-27 01:11:54.997,2021-01-27 01:14:25.032000,consumer,True,Email
312,,WI,2021-01-27 15:51:43.511,2021-01-27 15:51:43.566000,consumer,True,Email
320,,WI,2021-01-27 01:14:14.981,2021-01-27 01:14:15.028000,consumer,True,Email
322,,WI,2021-01-27 01:14:09.100,2021-01-27 01:14:09.163000,consumer,True,Email
323,,WI,2021-01-28 21:21:15.898,2021-01-28 21:25:01.904000,consumer,True,Email
325,,WI,2021-01-25 17:33:04.549,null,consumer,True,Email
328,,WI,2021-01-28 21:24:21.761,2021-01-28 21:24:21.913000,consumer,True,Email
329,,WI,2021-01-28 21:24:27.222,2021-01-28 21:24:27.387000,consumer,True,Email
330,,WI,2021-01-25 19:18:41.390,null,consumer,True,Email
331,,WI,2021-01-29 18:35:51.391,2021-01-29 18:35:51.434000,consumer,True,Email
332,,WI,2021-01-29 19:45:09.523,2021-01-29 19:45:09.567000,consumer,True,Email
333,,WI,2021-01-29 18:55:56.507,2021-01-29 18:58:36.699000,consumer,True,Email
334,,WI,2021-01-29 17:45:00.842,2021-01-29 18:00:01.464000,consumer,True,Email
335,,WI,2021-01-25 21:15:46.246,null,consumer,True,Email
336,,WI,2021-01-29 20:28:49.403,2021-01-29 20:28:49.622000,consumer,True,Email
337,,WI,2021-01-29 18:56:21.484,2021-01-29 18:56:21.542000,consumer,True,Email
339,,WI,2021-01-29 16:02:25.330,2021-01-29 16:05:28.918000,consumer,True,Email
340,,WI,2021-01-29 18:35:48.060,2021-01-29 18:35:48.133000,consumer,True,Email
341,,WI,2021-01-29 17:39:39.324,2021-01-29 17:43:11.937000,consumer,True,Email
342,,WI,2021-01-29 16:03:13.318,2021-01-29 16:03:13.362000,consumer,True,Email
343,,WI,2021-01-29 19:44:40.680,2021-01-29 19:44:40.758000,consumer,True,Email
344,,,2021-01-29 19:20:19.722,null,consumer,True,Email
345,,WI,2021-01-29 20:25:14.221,2021-01-29 20:29:08.512000,consumer,True,Email
347,,WI,2021-01-29 19:44:14.197,2021-01-29 19:46:07.347000,consumer,True,Email
348,,WI,2021-01-29 17:15:58.195,2021-01-29 17:18:54.023000,consumer,True,Email
349,,WI,2021-01-29 19:44:37.376,2021-01-29 19:44:37.437000,consumer,True,Email
351,,OH,2021-01-29 21:24:58.184,null,consumer,True,Email
353,,WI,2021-02-01 23:37:13.079,2021-02-01 23:37:13.126000,consumer,True,Email
354,,WI,2021-02-01 16:47:12.843,2021-02-01 16:48:32.031000,consumer,True,Email
357,,WI,2021-02-01 16:41:46.573,2021-02-01 16:41:46.615000,consumer,True,Email
358,,WI,2021-02-01 16:33:49.873,2021-02-01 16:36:01.759000,consumer,True,Email
360,,WI,2021-02-01 17:37:27.795,2021-02-01 17:39:27.811000,consumer,True,Email
362,,WI,2021-02-02 00:28:04.020,2021-02-02 00:28:04.073000,consumer,True,Email
363,,WI,2021-02-02 00:27:32.642,2021-02-02 00:29:09.977000,consumer,True,Email
368,,WI,2021-02-02 00:27:52.817,2021-02-02 00:27:52.868000,consumer,True,Email
370,,WI,2021-02-02 00:27:49.145,2021-02-02 00:27:49.193000,consumer,True,Email
375,,,2021-02-01 20:19:03.551,null,consumer,True,Email
377,,WI,2021-02-03 15:31:38.705,2021-02-03 15:31:38.909000,consumer,True,Email
379,,SC,2021-02-01 17:46:20.468,null,consumer,True,Email
380,,WI,2021-02-03 15:30:29.397,2021-02-03 15:34:11.043000,consumer,True,Email
383,,WI,2021-02-04 21:35:03.045,2021-02-04 21:36:30.188000,consumer,True,Email
384,,WI,2021-02-04 21:36:18.530,2021-02-04 21:36:18.572000,consumer,True,Email
385,,WI,2021-02-04 17:16:53.700,2021-02-04 17:20:30.228000,consumer,True,Email
386,,WI,2021-02-04 17:18:34.447,2021-02-04 17:18:34.650000,consumer,True,Email
388,,WI,2015-04-17 03:43:53.186,2018-05-07 17:23:40.003000,consumer,True,
389,,WI,2021-02-08 18:15:03.714,null,consumer,True,Email
390,,WI,2021-02-08 17:37:13.950,2021-02-08 17:37:13.989000,consumer,True,Email
391,,WI,2021-02-08 17:36:35.109,2021-02-08 17:36:35.150000,consumer,True,Email
392,,WI,2021-02-09 14:17:41.257,2021-02-09 14:18:58.835000,consumer,True,Email
393,,WI,2021-02-09 14:17:52.581,2021-02-09 14:17:52.626000,consumer,True,Email
395,,WI,2017-09-19 14:07:54.302,2021-02-08 16:42:58.117000,fetch-staff,True,
404,,WI,2021-02-10 19:53:01.857,2021-02-10 19:53:02.079000,consumer,True,Email
408,,WI,2020-07-28 18:04:00.905,2021-02-04 15:30:05.375000,fetch-staff,True,Email
415,,WI,2021-02-11 16:17:53.738,2021-02-11 16:17:53.798000,consumer,True,Email
416,,WI,2021-02-11 14:01:17.332,2021-02-11 14:01:17.388000,consumer,True,Email
417,,WI,2021-02-11 16:17:07.502,2021-02-11 16:18:29.219000,consumer,True,Email
418,,WI,2021-02-11 16:17:49.831,2021-02-11 16:17:49.893000,consumer,True,Email
419,,WI,2021-02-11 14:00:47.269,2021-02-11 14:00:47.332000,consumer,True,Email
420,,AL,2020-11-15 03:28:56.818,null,consumer,True,Google
421,,WI,2021-02-12 14:11:06.240,2021-02-12 14:11:06.294000,consumer,True,Email
422,,,2017-12-27 15:47:27.059,2021-02-12 16:22:37.155000,consumer,True,
427,,WI,2021-02-12 14:10:49.408,2021-02-12 14:12:07.107000,consumer,True,Email
432,,,2020-11-23 22:19:29.509,2021-02-26 04:25:51.057000,fetch-staff,True,Email
435,,NH,2020-12-03 22:08:03.936,2021-02-26 22:39:16.799000,fetch-staff,True,Email
455,,,2020-11-05 15:17:09.396,2021-03-04 16:02:02.026000,fetch-staff,True,Email
456,,AL,2020-11-04 22:29:33.309,2021-03-04 07:21:58.047000,fetch-staff,True,Google
462,,IL,2017-07-11 15:13:11.771,2021-03-04 19:07:49.770000,fetch-staff,True,
475,,,2014-12-19 14:21:22.381,2021-03-05 16:52:23.204000,fetch-staff,True,
